NATS=   2400
1.0
 0.0          28.809599 0.0          28.809599 0.0          28.809599
 H         0.023879       -0.034565        0.000000
 O         0.965436        0.019757        0.000000
 H         1.140511       -0.906974        0.000000
 H         4.173519       17.193754       18.188997
 O         5.115077       17.248077       18.188997
 H         5.290152       16.321346       18.188997
 H         9.316085        3.177448       16.300880
 O        10.257643        3.231770       16.300880
 H        10.432718        2.305039       16.300880
 H        25.209845       22.071894       15.339658
 O        26.151403       22.126217       15.339658
 H        26.326477       21.199486       15.339658
 H         9.865709       15.811211       15.934369
 O        10.807267       15.865533       15.934369
 H        10.982343       14.938802       15.934369
 H         9.036264       23.267200        8.807149
 O         9.977822       23.321524        8.807149
 H        10.152898       22.394793        8.807149
 H         3.845181        7.273155       18.304592
 O         4.786739        7.327477       18.304592
 H         4.961814        6.400746       18.304592
 H        26.537657       25.073465        0.197669
 O        27.479216       25.127789        0.197669
 H        27.654289       24.201057        0.197669
 H         0.628458        4.800087        7.546011
 O         1.570016        4.854409        7.546011
 H         1.745091        3.927678        7.546011
 H        12.168085       16.097473        5.262087
 O        13.109643       16.151796        5.262087
 H        13.284719       15.225064        5.262087
 H        20.261114       25.439768       21.156593
 O        21.202673       25.494091       21.156593
 H        21.377747       24.567360       21.156593
 H        10.648083       14.034671       24.058537
 O        11.589641       14.088993       24.058537
 H        11.764716       13.162262       24.058537
 H         3.996332       10.617022        8.328384
 O         4.937890       10.671344        8.328384
 H         5.112965        9.744613        8.328384
 H        10.391544       24.221642        4.577033
 O        11.333102       24.275965        4.577033
 H        11.508178       23.349234        4.577033
 H        15.510117       15.839829       22.511873
 O        16.451675       15.894152       22.511873
 H        16.626749       14.967421       22.511873
 H        11.602523        9.804556        6.913873
 O        12.544081        9.858878        6.913873
 H        12.719156        8.932147        6.913873
 H        12.563006       14.824302       22.202850
 O        13.504564       14.878624       22.202850
 H        13.679640       13.951893       22.202850
 H        23.932236        2.128247       16.511581
 O        24.873795        2.182569       16.511581
 H        25.048868        1.255838       16.511581
 H        25.534330        1.687070        5.466424
 O        26.475889        1.741392        5.466424
 H        26.650963        0.814661        5.466424
 H        26.442896       21.054050       12.187092
 O        27.384455       21.108374       12.187092
 H        27.559528       20.181643       12.187092
 H        17.619907       27.943731        9.188063
 O        18.561466       27.998055        9.188063
 H        18.736540       27.071323        9.188063
 H         2.142016       19.066401        1.325559
 O         3.083573       19.120724        1.325559
 H         3.258648       18.193993        1.325559
